"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_selectCars[chrome-BMW-BMW Cars]","","Thu Jun 26 19:28:56 IST 2025","skipped","Thu Jun 26 19:28:56 IST 2025","Test_carwale","test_carwale","",""
"","0","test_selectCars[firefox-BMW-BMW Cars]","","Thu Jun 26 19:28:56 IST 2025","skipped","Thu Jun 26 19:28:56 IST 2025","Test_carwale","test_carwale","",""
"","0","test_carNamesAndPrices[firefox-Mahindra-Mahindra Cars]","","Thu Jun 26 18:46:24 IST 2025","skipped","Thu Jun 26 18:46:24 IST 2025","","","",""
"","0","test_selectCars[chrome-Mahindra-Mahindra Cars]","","Thu Jun 26 19:28:56 IST 2025","skipped","Thu Jun 26 19:28:56 IST 2025","Test_carwale","test_carwale","",""
"","1519","test_carNamesAndPrices[chrome-Tata-Tata Cars]","","Thu Jun 26 19:29:14 IST 2025","passed","Thu Jun 26 19:29:15 IST 2025","Test_carwale","test_carwale","",""
"","1907","test_carNamesAndPrices[firefox-Hyundai-Hyundaii Cars]","","Thu Jun 26 19:29:48 IST 2025","failed","Thu Jun 26 19:29:50 IST 2025","Test_carwale","test_carwale","",""
"","0","test_gotoNewCars[chrome]","","Thu Jun 26 19:28:56 IST 2025","skipped","Thu Jun 26 19:28:56 IST 2025","Test_carwale","test_carwale","",""
"","0","test_selectCars[firefox-Tata-Tata Cars]","","Thu Jun 26 19:28:56 IST 2025","skipped","Thu Jun 26 19:28:56 IST 2025","Test_carwale","test_carwale","",""
"","0","test_selectCars[firefox-Hyundai-Hyundaii Cars]","","Thu Jun 26 19:28:56 IST 2025","skipped","Thu Jun 26 19:28:56 IST 2025","Test_carwale","test_carwale","",""
"","0","test_selectCars[chrome-Hyundai-Hyundaii Cars]","","Thu Jun 26 19:28:56 IST 2025","skipped","Thu Jun 26 19:28:56 IST 2025","Test_carwale","test_carwale","",""
"","0","test_selectCars[chrome-Tata-Tata Cars]","","Thu Jun 26 19:28:56 IST 2025","skipped","Thu Jun 26 19:28:56 IST 2025","Test_carwale","test_carwale","",""
"","1799","test_carNamesAndPrices[firefox-Mahindra-Mahindra Cars]","","Thu Jun 26 19:29:34 IST 2025","passed","Thu Jun 26 19:29:36 IST 2025","Test_carwale","test_carwale","",""
"","1103","test_carNamesAndPrices[chrome-Hyundai-Hyundaii Cars]","","Thu Jun 26 19:29:06 IST 2025","failed","Thu Jun 26 19:29:08 IST 2025","Test_carwale","test_carwale","",""
"","0","test_selectCars[firefox-Mahindra-Mahindra Cars]","","Thu Jun 26 19:28:56 IST 2025","skipped","Thu Jun 26 19:28:56 IST 2025","Test_carwale","test_carwale","",""
"","2017","test_carNamesAndPrices[firefox-BMW-BMW Cars]","","Thu Jun 26 19:30:19 IST 2025","passed","Thu Jun 26 19:30:21 IST 2025","Test_carwale","test_carwale","",""
"","0","test_gotoNewCars[firefox]","","Thu Jun 26 19:28:56 IST 2025","skipped","Thu Jun 26 19:28:56 IST 2025","Test_carwale","test_carwale","",""
"","1942","test_carNamesAndPrices[chrome-BMW-BMW Cars]","","Thu Jun 26 19:29:22 IST 2025","passed","Thu Jun 26 19:29:24 IST 2025","Test_carwale","test_carwale","",""
"","3249","test_carNamesAndPrices[firefox-Tata-Tata Cars]","","Thu Jun 26 19:30:03 IST 2025","passed","Thu Jun 26 19:30:06 IST 2025","Test_carwale","test_carwale","",""
"","1484","test_carNamesAndPrices[chrome-Mahindra-Mahindra Cars]","","Thu Jun 26 19:28:59 IST 2025","passed","Thu Jun 26 19:29:01 IST 2025","Test_carwale","test_carwale","",""
